f1_score : 0.4984862208366394
acc : 0.8883864283561707

class              precision    recall  f1-score   support

          AF       0.50      0.29      0.37      1699
          AM       0.80      0.33      0.47        99
          CV       0.67      0.69      0.68     49579
          DT       0.45      0.51      0.48      3661
          EV       0.38      0.22      0.28       109
          FD       0.20      0.17      0.18        41
          LC       0.31      0.22      0.25       638
          MT       0.28      0.20      0.23       214
          OG       0.54      0.45      0.49     10911
          PS       0.00      0.00      0.00       401
          PT       0.33      0.17      0.22        18
          QT       0.48      0.68      0.57      8289
          TI       0.01      0.06      0.01       565
          TM       0.46      0.75      0.57     33031
          TR       0.13      0.08      0.10       132

   micro avg       0.53      0.66      0.59    109387
   macro avg       0.37      0.32      0.33    109387
weighted avg       0.56      0.66      0.59    109387
